Timestamp,Age,Gender ,Educational level,Occupation Status,Monthly Income/ Allowance,Quality Satisfaction,Quality Trust,Counterfeit Concern,Quality vs Competitors,Packaging Clarity,Attractive Benefits,Price Influence,Price Sensitivity,Premium Price Willing,Ad Positive Impression,Ad Recognition,Ad Perception Influence
2026/09/04 1:45:03 PM GMT+1,20,Male,Undergraduate,Student,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",3 Neither Agree nor Disagree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,3 Neither Agree nor Disagree,2 Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree
2026/09/04 1:59:29 PM GMT+1,17,Female,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,4 Agree,2 Disagree,3 Neither Agree nor Disagree,2 Disagree,4 Agree,4 Agree,2 Disagree,5 Strongly Agree,4 Agree,2 Disagree
2026/09/04 2:13:21 PM GMT+1,21,Female,Undergraduate,Employed,"â_x0082_¦300,000 and above",3 Neither Agree nor Disagree,2 Disagree,5 Strongly Agree,4 Agree,1 Strongly Disagree,4 Agree,4 Agree,2 Disagree,3 Neither Agree nor Disagree,4 Agree,2 Disagree,5 Strongly Agree
2026/09/04 2:55:50 PM GMT+1,20,Male,Undergraduate,Student,"Below â_x0082_¦50,000",3 Neither Agree nor Disagree,2 Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,2 Disagree,2 Disagree,4 Agree,3 Neither Agree nor Disagree,5 Strongly Agree,4 Agree,4 Agree
2026/09/04 4:49:45 PM GMT+1,19,Female,Secondary school,Student,"Below â_x0082_¦50,000",3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,5 Strongly Agree,2 Disagree,4 Agree,2 Disagree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree
2026/09/04 5:08:58 PM GMT+1,18,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,5 Strongly Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree
2026/09/04 5:09:36 PM GMT+1,20,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,2 Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,5 Strongly Agree,4 Agree
2026/09/04 5:10:00 PM GMT+1,16,Female,Undergraduate,Student,"Below â_x0082_¦50,000",1 Strongly Disagree;4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,2 Disagree,4 Agree,2 Disagree,5 Strongly Agree,5 Strongly Agree,4 Agree
2026/09/04 5:16:36 PM GMT+1,19,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,5 Strongly Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree
2026/09/04 5:18:43 PM GMT+1,18,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree
